id,status,ip,exposure_date,clinical_date,notification_date,removal_date,recovery_date,vacc_date,region,county,cluster,xcoord,ycoord,area,type,total
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152.16636631721258,-29.458472132947836,679.0341762708722,saleyard,271
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151.50197356957614,-31.530838238179037,342.1053188894021,saleyard,136
2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152.04796362344857,-30.164490640462837,245.95425972849281,trader,49
3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151.66952166136713,-31.638144791373076,38.000879320545906,trader,7
4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151.3043308376018,-30.694989774254626,997.4560652040551,trader,199
5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151.79140223087853,-31.288400531297107,67.08498350151385,trader,13
6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152.22222066295308,-29.857502185440694,589.9935282121053,trader,117
7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151.49966067869906,-32.22121265387882,281.338023135071,trader,56
8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,148.939924350615,-31.150054948390288,204.1114266917897,trader,40
9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,148.9900417600256,-31.138480114645382,133.18160151911408,trader,26
10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151.54577830273024,-30.918394010893103,16.97019659524277,trader,5
11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152.02610073898393,-29.844943293900915,331.9676175317381,trader,66
12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,148.05126188379683,-32.43327822639482,1250.5393928431195,trader,250
13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151.57020325222484,-32.288929574088755,44.1297433013849,trader,8
14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151.57915250828984,-31.634975099900718,11.888174390766784,trader,5
15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151.12176757156467,-29.067346858361134,4753.296414241072,trader,950
16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150.50397034363192,-32.46327695780408,123.83281221929978,feedlot,49
17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147.92086187993252,-32.47160002268639,237.80481069152486,feedlot,95
18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151.79997871864987,-31.322491151682847,183.25966730626286,feedlot,73
19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,148.56475052025672,-30.322792222276416,763.9736296582137,feedlot,305
20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149.41956095036204,-32.46614000058626,68.0547254386229,feedlot,27
21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,148.8515218099037,-30.200040510604538,13227.991959577203,feedlot,5291
