id,status,ip,exposure_date,clinical_date,notification_date,removal_date,recovery_date,vacc_date,region,county,cluster,xcoord,ycoord,area,type,total
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149.4672729267578,-31.84921890674283,109.81526637592283,farm,22
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146.33054894152156,-33.645326066124085,294.7901442769094,farm,55
2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149.48067967268645,-29.517823393734858,111.18280592135137,farm,33
3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150.09261190872715,-29.389720055100213,444.47441610332015,farm,41
4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149.75822259467867,-31.503356718979866,187.5484768034656,farm,23
5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150.50929098874707,-33.66533224687144,2092.0695466474217,farm,136
6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145.72334054308914,-33.30491096109456,233.34822980778767,farm,85
7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149.715069632915,-31.876864494190066,293.2267898685137,farm,27
8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145.70888000435565,-30.57453530248426,97.16252839471096,farm,25
9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147.16509717668907,-29.914272589415393,638.197364313062,farm,78
10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146.93553816994063,-29.8487781445696,191.60633876579305,farm,26
11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150.6945928857743,-33.98663598566584,336.7601328339293,farm,59
12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150.0265613072404,-31.463767830177993,32.39057104532267,farm,11
13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,148.75594329544168,-33.193865134542655,966.5929594412873,farm,118
14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150.64397407513428,-33.46475474449842,287.85680492419834,farm,39
15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149.8988180203524,-33.49862784265096,441.36586652591154,farm,82
16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146.06969609605127,-31.534386002423993,405.5625276277818,farm,61
17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147.42034383568085,-29.91271757305323,1176.2797858559418,farm,218
18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149.37858650952688,-32.165369940891644,60.1726109051504,farm,15
19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146.8826767389191,-30.533986449950294,468.26191740676006,farm,76
