id,status,ip,exposure_date,clinical_date,notification_date,removal_date,recovery_date,vacc_date,region,county,cluster,xcoord,ycoord,area,type,total
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150.99055301061213,-32.12871404086206,34.209160042542756,stud farm,73
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151.101812581675,-31.6281877515911,199.10162575751198,farm,39
2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150.4278415957655,-32.089872481888655,320.1766101234698,farm,75
3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150.58278207023017,-31.61361016897223,21.847028566424818,farm,10
4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150.2992088571902,-31.806752797560073,457.73082262527174,farm,91
5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150.64216842948676,-31.807834509258722,1709.3668606073809,farm,341
6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150.25960496792516,-32.12391684505807,6.510245869801556,farm,4
7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151.3462345685552,-32.043092468758985,869.6890912664697,saleyard,111
8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151.34208909449842,-32.554052371661484,71.6933454781975,farm,12
9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150.44210312468084,-32.59534676622999,87.60702931489755,farm,25
10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150.68700184559904,-32.17465177728042,317.5640116883826,farm,57
11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150.45500720000604,-31.773110201484464,37.12811695241571,farm,9
12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151.34658287233287,-32.58340787906743,59.96017268257454,farm,18
13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151.00453268635238,-32.151391863880846,12.459415826606966,farm,7
14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150.66545016329582,-31.6663162981151,232.0661995625682,farm,46
15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150.99965910867382,-32.50585656047609,351.4676375747239,farm,70
