time,moving from index,moving to index,report
1,0,100,DAY 02/11/2024 - moved 1 animals from property ID 0 (stud farm) to property ID 100 (saleyard)
1,7,158,DAY 02/11/2024 - moved 11 animals from property ID 7 (saleyard) to property ID 158 (farm)
1,7,2,DAY 02/11/2024 - moved 11 animals from property ID 7 (saleyard) to property ID 2 (farm)
1,7,160,DAY 02/11/2024 - moved 11 animals from property ID 7 (saleyard) to property ID 160 (saleyard)
1,7,95,DAY 02/11/2024 - moved 12 animals from property ID 7 (saleyard) to property ID 95 (farm)
1,7,244,DAY 02/11/2024 - moved 12 animals from property ID 7 (saleyard) to property ID 244 (feedlot)
1,7,123,DAY 02/11/2024 - moved 12 animals from property ID 7 (saleyard) to property ID 123 (farm)
1,8,172,DAY 02/11/2024 - moved 1 animals from property ID 8 (farm) to property ID 172 (trader)
1,16,160,DAY 02/11/2024 - moved 1 animals from property ID 16 (farm) to property ID 160 (saleyard)
1,25,0,DAY 02/11/2024 - moved 1 animals from property ID 25 (farm) to property ID 0 (stud farm)
1,40,0,DAY 02/11/2024 - moved 6 animals from property ID 40 (farm) to property ID 0 (stud farm)
1,46,100,DAY 02/11/2024 - moved 1 animals from property ID 46 (farm) to property ID 100 (saleyard)
1,50,297,DAY 02/11/2024 - moved 2 animals from property ID 50 (farm) to property ID 297 (trader)
1,55,56,DAY 02/11/2024 - moved 1 animals from property ID 55 (farm) to property ID 56 (feedlot)
1,56,30,DAY 02/11/2024 - moved 12 animals from property ID 56 (feedlot) to property ID 30 (abbattoir)
1,56,30,DAY 02/11/2024 - moved 12 animals from property ID 56 (feedlot) to property ID 30 (abbattoir)
1,59,0,DAY 02/11/2024 - moved 4 animals from property ID 59 (farm) to property ID 0 (stud farm)
1,76,172,DAY 02/11/2024 - moved 2 animals from property ID 76 (farm) to property ID 172 (trader)
1,77,30,DAY 02/11/2024 - moved 1 animals from property ID 77 (farm) to property ID 30 (abbattoir)
1,85,100,DAY 02/11/2024 - moved 5 animals from property ID 85 (farm) to property ID 100 (saleyard)
1,94,268,DAY 02/11/2024 - moved 1 animals from property ID 94 (farm) to property ID 268 (farm)
1,97,292,DAY 02/11/2024 - moved 4 animals from property ID 97 (farm) to property ID 292 (farm)
1,100,30,DAY 02/11/2024 - moved 1 animals from property ID 100 (saleyard) to property ID 30 (abbattoir)
1,100,214,DAY 02/11/2024 - moved 1 animals from property ID 100 (saleyard) to property ID 214 (farm)
1,113,240,DAY 02/11/2024 - moved 2 animals from property ID 113 (farm) to property ID 240 (feedlot)
1,120,56,DAY 02/11/2024 - moved 3 animals from property ID 120 (saleyard) to property ID 56 (feedlot)
1,128,297,DAY 02/11/2024 - moved 2 animals from property ID 128 (farm) to property ID 297 (trader)
1,132,7,DAY 02/11/2024 - moved 5 animals from property ID 132 (farm) to property ID 7 (saleyard)
1,152,7,DAY 02/11/2024 - moved 5 animals from property ID 152 (farm) to property ID 7 (saleyard)
1,172,268,DAY 02/11/2024 - moved 1 animals from property ID 172 (trader) to property ID 268 (farm)
1,172,275,DAY 02/11/2024 - moved 1 animals from property ID 172 (trader) to property ID 275 (farm)
1,173,269,DAY 02/11/2024 - moved 2 animals from property ID 173 (farm) to property ID 269 (farm)
1,176,296,DAY 02/11/2024 - moved 1 animals from property ID 176 (farm) to property ID 296 (farm)
1,186,120,DAY 02/11/2024 - moved 1 animals from property ID 186 (trader) to property ID 120 (saleyard)
1,195,0,DAY 02/11/2024 - moved 1 animals from property ID 195 (farm) to property ID 0 (stud farm)
1,202,297,DAY 02/11/2024 - moved 13 animals from property ID 202 (farm) to property ID 297 (trader)
1,214,244,DAY 02/11/2024 - moved 1 animals from property ID 214 (farm) to property ID 244 (feedlot)
1,222,172,DAY 02/11/2024 - moved 1 animals from property ID 222 (farm) to property ID 172 (trader)
1,232,0,DAY 02/11/2024 - moved 1 animals from property ID 232 (farm) to property ID 0 (stud farm)
1,238,160,DAY 02/11/2024 - moved 14 animals from property ID 238 (farm) to property ID 160 (saleyard)
1,262,103,DAY 02/11/2024 - moved 1 animals from property ID 262 (farm) to property ID 103 (farm)
1,264,100,DAY 02/11/2024 - moved 1 animals from property ID 264 (farm) to property ID 100 (saleyard)
1,277,100,DAY 02/11/2024 - moved 1 animals from property ID 277 (farm) to property ID 100 (saleyard)
1,297,120,DAY 02/11/2024 - moved 15 animals from property ID 297 (trader) to property ID 120 (saleyard)
2,0,70,DAY 03/11/2024 - moved 1 animals from property ID 0 (stud farm) to property ID 70 (farm)
2,0,65,DAY 03/11/2024 - moved 2 animals from property ID 0 (stud farm) to property ID 65 (trader)
2,7,0,DAY 03/11/2024 - moved 15 animals from property ID 7 (saleyard) to property ID 0 (stud farm)
2,7,0,DAY 03/11/2024 - moved 14 animals from property ID 7 (saleyard) to property ID 0 (stud farm)
2,7,91,DAY 03/11/2024 - moved 14 animals from property ID 7 (saleyard) to property ID 91 (farm)
2,7,285,DAY 03/11/2024 - moved 14 animals from property ID 7 (saleyard) to property ID 285 (farm)
2,26,30,DAY 03/11/2024 - moved 1 animals from property ID 26 (farm) to property ID 30 (abbattoir)
2,29,240,DAY 03/11/2024 - moved 1 animals from property ID 29 (farm) to property ID 240 (feedlot)
2,38,172,DAY 03/11/2024 - moved 1 animals from property ID 38 (farm) to property ID 172 (trader)
2,56,30,DAY 03/11/2024 - moved 11 animals from property ID 56 (feedlot) to property ID 30 (abbattoir)
2,56,30,DAY 03/11/2024 - moved 11 animals from property ID 56 (feedlot) to property ID 30 (abbattoir)
2,65,83,DAY 03/11/2024 - moved 1 animals from property ID 65 (trader) to property ID 83 (farm)
2,70,46,DAY 03/11/2024 - moved 1 animals from property ID 70 (farm) to property ID 46 (farm)
2,79,65,DAY 03/11/2024 - moved 8 animals from property ID 79 (farm) to property ID 65 (trader)
2,100,30,DAY 03/11/2024 - moved 1 animals from property ID 100 (saleyard) to property ID 30 (abbattoir)
2,100,240,DAY 03/11/2024 - moved 2 animals from property ID 100 (saleyard) to property ID 240 (feedlot)
2,114,100,DAY 03/11/2024 - moved 1 animals from property ID 114 (farm) to property ID 100 (saleyard)
2,120,160,DAY 03/11/2024 - moved 2 animals from property ID 120 (saleyard) to property ID 160 (saleyard)
2,120,56,DAY 03/11/2024 - moved 2 animals from property ID 120 (saleyard) to property ID 56 (feedlot)
2,120,30,DAY 03/11/2024 - moved 2 animals from property ID 120 (saleyard) to property ID 30 (abbattoir)
2,147,7,DAY 03/11/2024 - moved 1 animals from property ID 147 (farm) to property ID 7 (saleyard)
2,154,65,DAY 03/11/2024 - moved 1 animals from property ID 154 (farm) to property ID 65 (trader)
2,160,7,DAY 03/11/2024 - moved 15 animals from property ID 160 (saleyard) to property ID 7 (saleyard)
2,160,100,DAY 03/11/2024 - moved 16 animals from property ID 160 (saleyard) to property ID 100 (saleyard)
2,172,101,DAY 03/11/2024 - moved 1 animals from property ID 172 (trader) to property ID 101 (farm)
2,172,56,DAY 03/11/2024 - moved 1 animals from property ID 172 (trader) to property ID 56 (feedlot)
2,186,141,DAY 03/11/2024 - moved 1 animals from property ID 186 (trader) to property ID 141 (farm)
2,198,160,DAY 03/11/2024 - moved 2 animals from property ID 198 (farm) to property ID 160 (saleyard)
2,209,31,DAY 03/11/2024 - moved 1 animals from property ID 209 (farm) to property ID 31 (farm)
2,212,240,DAY 03/11/2024 - moved 1 animals from property ID 212 (farm) to property ID 240 (feedlot)
2,218,186,DAY 03/11/2024 - moved 23 animals from property ID 218 (farm) to property ID 186 (trader)
2,234,160,DAY 03/11/2024 - moved 1 animals from property ID 234 (farm) to property ID 160 (saleyard)
2,252,30,DAY 03/11/2024 - moved 1 animals from property ID 252 (farm) to property ID 30 (abbattoir)
