time,moving from index,moving to index,report
1,7,57,DAY 02/11/2024 - moved 50 animals from property ID 7 (trader) to property ID 57 (farm)
1,21,69,DAY 02/11/2024 - moved 8 animals from property ID 21 (stud farm) to property ID 69 (farm)
1,21,106,DAY 02/11/2024 - moved 9 animals from property ID 21 (stud farm) to property ID 106 (saleyard)
1,21,249,DAY 02/11/2024 - moved 9 animals from property ID 21 (stud farm) to property ID 249 (farm)
1,21,90,DAY 02/11/2024 - moved 9 animals from property ID 21 (stud farm) to property ID 90 (farm)
1,21,247,DAY 02/11/2024 - moved 9 animals from property ID 21 (stud farm) to property ID 247 (trader)
1,21,153,DAY 02/11/2024 - moved 9 animals from property ID 21 (stud farm) to property ID 153 (saleyard)
1,25,39,DAY 02/11/2024 - moved 2 animals from property ID 25 (farm) to property ID 39 (saleyard)
1,27,21,DAY 02/11/2024 - moved 37 animals from property ID 27 (farm) to property ID 21 (stud farm)
1,39,144,DAY 02/11/2024 - moved 1 animals from property ID 39 (saleyard) to property ID 144 (feedlot)
1,39,21,DAY 02/11/2024 - moved 1 animals from property ID 39 (saleyard) to property ID 21 (stud farm)
1,51,157,DAY 02/11/2024 - moved 29 animals from property ID 51 (farm) to property ID 157 (feedlot)
1,57,126,DAY 02/11/2024 - moved 4 animals from property ID 57 (farm) to property ID 126 (farm)
1,65,80,DAY 02/11/2024 - moved 1 animals from property ID 65 (farm) to property ID 80 (farm)
1,74,256,DAY 02/11/2024 - moved 3 animals from property ID 74 (farm) to property ID 256 (farm)
1,82,94,DAY 02/11/2024 - moved 29 animals from property ID 82 (farm) to property ID 94 (feedlot)
1,99,144,DAY 02/11/2024 - moved 45 animals from property ID 99 (farm) to property ID 144 (feedlot)
1,101,94,DAY 02/11/2024 - moved 1 animals from property ID 101 (farm) to property ID 94 (feedlot)
1,102,50,DAY 02/11/2024 - moved 4 animals from property ID 102 (trader) to property ID 50 (farm)
1,107,153,DAY 02/11/2024 - moved 17 animals from property ID 107 (farm) to property ID 153 (saleyard)
1,114,167,DAY 02/11/2024 - moved 2 animals from property ID 114 (farm) to property ID 167 (farm)
1,117,21,DAY 02/11/2024 - moved 1 animals from property ID 117 (farm) to property ID 21 (stud farm)
1,130,153,DAY 02/11/2024 - moved 1 animals from property ID 130 (farm) to property ID 153 (saleyard)
1,144,223,DAY 02/11/2024 - moved 8 animals from property ID 144 (feedlot) to property ID 223 (abbattoir)
1,156,247,DAY 02/11/2024 - moved 3 animals from property ID 156 (farm) to property ID 247 (trader)
1,157,223,DAY 02/11/2024 - moved 1 animals from property ID 157 (feedlot) to property ID 223 (abbattoir)
1,195,94,DAY 02/11/2024 - moved 1 animals from property ID 195 (farm) to property ID 94 (feedlot)
1,197,39,DAY 02/11/2024 - moved 1 animals from property ID 197 (farm) to property ID 39 (saleyard)
1,200,102,DAY 02/11/2024 - moved 10 animals from property ID 200 (farm) to property ID 102 (trader)
1,201,278,DAY 02/11/2024 - moved 1 animals from property ID 201 (farm) to property ID 278 (trader)
