day,date,from,to,animals,report
1,02/01/2026,0,35,200,DAY 02/01/2026 - moved 200 animals from property ID 0 (chicken-meat-farm in Queensland) to property ID 35 (chicken-meat-farm in New South Wales)
1,02/01/2026,1,8,200,DAY 02/01/2026 - moved 200 animals from property ID 1 (chicken-meat-farm in Queensland) to property ID 8 (chicken-meat-farm in Queensland)
1,02/01/2026,2,173,200,DAY 02/01/2026 - moved 200 animals from property ID 2 (chicken-meat-farm in Queensland) to property ID 173 (chicken-meat-farm in New South Wales)
1,02/01/2026,3,33,200,DAY 02/01/2026 - moved 200 animals from property ID 3 (chicken-meat-farm in Queensland) to property ID 33 (chicken-meat-farm in New South Wales)
1,02/01/2026,5,36,200,DAY 02/01/2026 - moved 200 animals from property ID 5 (chicken-meat-farm in Queensland) to property ID 36 (chicken-meat-farm in New South Wales)
1,02/01/2026,6,180,200,DAY 02/01/2026 - moved 200 animals from property ID 6 (chicken-meat-farm in Queensland) to property ID 180 (chicken-meat-processing in Queensland)
1,02/01/2026,7,19,200,DAY 02/01/2026 - moved 200 animals from property ID 7 (chicken-meat-farm in Queensland) to property ID 19 (chicken-meat-farm in New South Wales)
1,02/01/2026,9,41,200,DAY 02/01/2026 - moved 200 animals from property ID 9 (chicken-meat-farm in New South Wales) to property ID 41 (chicken-meat-farm in New South Wales)
1,02/01/2026,10,94,200,DAY 02/01/2026 - moved 200 animals from property ID 10 (chicken-meat-farm in New South Wales) to property ID 94 (chicken-meat-farm in New South Wales)
1,02/01/2026,11,35,200,DAY 02/01/2026 - moved 200 animals from property ID 11 (chicken-meat-farm in New South Wales) to property ID 35 (chicken-meat-farm in New South Wales)
1,02/01/2026,12,47,200,DAY 02/01/2026 - moved 200 animals from property ID 12 (chicken-meat-farm in New South Wales) to property ID 47 (chicken-meat-farm in New South Wales)
1,02/01/2026,13,184,200,DAY 02/01/2026 - moved 200 animals from property ID 13 (chicken-meat-farm in New South Wales) to property ID 184 (chicken-meat-processing in New South Wales)
1,02/01/2026,14,121,200,DAY 02/01/2026 - moved 200 animals from property ID 14 (chicken-meat-farm in New South Wales) to property ID 121 (chicken-meat-farm in New South Wales)
1,02/01/2026,15,12,200,DAY 02/01/2026 - moved 200 animals from property ID 15 (chicken-meat-farm in New South Wales) to property ID 12 (chicken-meat-farm in New South Wales)
1,02/01/2026,16,109,200,DAY 02/01/2026 - moved 200 animals from property ID 16 (chicken-meat-farm in New South Wales) to property ID 109 (chicken-meat-farm in New South Wales)
1,02/01/2026,20,97,200,DAY 02/01/2026 - moved 200 animals from property ID 20 (chicken-meat-farm in New South Wales) to property ID 97 (chicken-meat-farm in New South Wales)
1,02/01/2026,23,51,200,DAY 02/01/2026 - moved 200 animals from property ID 23 (chicken-meat-farm in New South Wales) to property ID 51 (chicken-meat-farm in New South Wales)
1,02/01/2026,24,43,200,DAY 02/01/2026 - moved 200 animals from property ID 24 (chicken-meat-farm in New South Wales) to property ID 43 (chicken-meat-farm in New South Wales)
1,02/01/2026,25,110,200,DAY 02/01/2026 - moved 200 animals from property ID 25 (chicken-meat-farm in New South Wales) to property ID 110 (chicken-meat-farm in New South Wales)
1,02/01/2026,26,184,200,DAY 02/01/2026 - moved 200 animals from property ID 26 (chicken-meat-farm in New South Wales) to property ID 184 (chicken-meat-processing in New South Wales)
1,02/01/2026,30,181,20,DAY 02/01/2026 - moved 20 animals from property ID 30 (chicken-meat-farm in New South Wales) to property ID 181 (chicken-meat-processing in Queensland)
1,02/01/2026,32,95,20,DAY 02/01/2026 - moved 20 animals from property ID 32 (chicken-meat-farm in New South Wales) to property ID 95 (chicken-meat-farm in New South Wales)
1,02/01/2026,33,180,20,DAY 02/01/2026 - moved 20 animals from property ID 33 (chicken-meat-farm in New South Wales) to property ID 180 (chicken-meat-processing in Queensland)
1,02/01/2026,36,184,20,DAY 02/01/2026 - moved 20 animals from property ID 36 (chicken-meat-farm in New South Wales) to property ID 184 (chicken-meat-processing in New South Wales)
1,02/01/2026,39,73,20,DAY 02/01/2026 - moved 20 animals from property ID 39 (chicken-meat-farm in New South Wales) to property ID 73 (chicken-meat-farm in New South Wales)
1,02/01/2026,40,119,20,DAY 02/01/2026 - moved 20 animals from property ID 40 (chicken-meat-farm in New South Wales) to property ID 119 (chicken-meat-farm in New South Wales)
1,02/01/2026,41,105,20,DAY 02/01/2026 - moved 20 animals from property ID 41 (chicken-meat-farm in New South Wales) to property ID 105 (chicken-meat-farm in New South Wales)
1,02/01/2026,45,176,20,DAY 02/01/2026 - moved 20 animals from property ID 45 (chicken-meat-farm in New South Wales) to property ID 176 (chicken-meat-farm in New South Wales)
1,02/01/2026,47,62,20,DAY 02/01/2026 - moved 20 animals from property ID 47 (chicken-meat-farm in New South Wales) to property ID 62 (chicken-meat-farm in New South Wales)
1,02/01/2026,49,185,20,DAY 02/01/2026 - moved 20 animals from property ID 49 (chicken-meat-farm in New South Wales) to property ID 185 (chicken-meat-processing in New South Wales)
1,02/01/2026,52,30,20,DAY 02/01/2026 - moved 20 animals from property ID 52 (chicken-meat-farm in New South Wales) to property ID 30 (chicken-meat-farm in New South Wales)
1,02/01/2026,53,14,20,DAY 02/01/2026 - moved 20 animals from property ID 53 (chicken-meat-farm in New South Wales) to property ID 14 (chicken-meat-farm in New South Wales)
1,02/01/2026,54,186,20,DAY 02/01/2026 - moved 20 animals from property ID 54 (chicken-meat-farm in New South Wales) to property ID 186 (chicken-meat-processing in New South Wales)
1,02/01/2026,55,13,20,DAY 02/01/2026 - moved 20 animals from property ID 55 (chicken-meat-farm in New South Wales) to property ID 13 (chicken-meat-farm in New South Wales)
